%time,field.header.seq,field.header.stamp,field.header.frame_id,field.values0,field.values1,field.values2,field.values3
1629153485647491599,8779,856488000000,,846476833.0,846476858.0,846476885.0,846477615.0
1629153485661601643,8780,856488000000,,846476833.0,846476858.0,846476885.0,846477615.0
1629153485674638913,8781,856509000000,,846497262.0,846497282.0,846497313.0,846498040.0
1629153485687660189,8782,856528000000,,846516494.0,846516517.0,846516546.0,846517274.0
1629153485701938622,8783,856548000000,,846535761.0,846535783.0,846535809.0,846536551.0
1629153485714946838,8784,856568000000,,846555480.0,846555502.0,846555527.0,846556261.0
1629153485727910564,8785,856578000000,,846565403.0,846565425.0,846565451.0,846566189.0
1629153485740858367,8786,856588000000,,846575291.0,846575310.0,846575336.0,846576071.0
1629153485753926088,8787,856588000000,,846575291.0,846575310.0,846575336.0,846576071.0
1629153485767087397,8788,856599000000,,846586817.0,846586837.0,846586862.0,846586864.0
1629153485779941612,8789,856608000000,,846595102.0,846595124.0,846595149.0,846595887.0
1629153485792875725,8790,856608000000,,846595102.0,846595124.0,846595149.0,846595887.0
1629153485794574632,8791,856618000000,,846605603.0,846605626.0,846605654.0,846606386.0
1629153485807548695,8792,856649000000,,846636337.0,846636357.0,846636382.0,846636384.0
1629153485821766226,8793,856649000000,,846636337.0,846636357.0,846636382.0,846636384.0
1629153485834675755,8794,856659000000,,846646230.0,846646250.0,846646275.0,846646277.0
1629153485847710720,8795,856669000000,,846655131.0,846655153.0,846655181.0,846655964.0
1629153485861878733,8796,856669000000,,846655131.0,846655153.0,846655181.0,846655964.0
1629153485874680146,8797,856688000000,,846674938.0,846674963.0,846674992.0,846675724.0
1629153485887617961,8798,856699000000,,846686074.0,846686094.0,846686119.0,846686121.0
1629153485902754962,8799,856729000000,,846715583.0,846715603.0,846715628.0,846715629.0
1629153485915625519,8800,856749000000,,846735372.0,846735392.0,846735417.0,846735419.0
1629153485928398507,8801,856759000000,,846745358.0,846745380.0,846745407.0,846745409.0
1629153485942349311,8802,856759000000,,846745358.0,846745380.0,846745407.0,846745409.0
1629153485955332593,8803,856778000000,,846763495.0,846763517.0,846763542.0,846764267.0
1629153485968402340,8804,856788000000,,846773416.0,846773435.0,846773461.0,846774194.0
1629153485982723865,8805,856788000000,,846773416.0,846773435.0,846773461.0,846774194.0
1629153485995755687,8806,856808000000,,846793241.0,846793263.0,846793288.0,846794030.0
1629153485997547345,8807,856819000000,,846804744.0,846804763.0,846804789.0,846804790.0
1629153486011611502,8808,856828000000,,846813045.0,846813070.0,846813097.0,846813862.0
1629153486037287803,8809,856859000000,,846844343.0,846844363.0,846844388.0,846844390.0
1629153486051481308,8810,856859000000,,846844343.0,846844363.0,846844388.0,846844390.0
1629153486064452368,8811,856869000000,,846852702.0,846852725.0,846852765.0,846853499.0
1629153486077498089,8812,856878000000,,846861708.0,846861730.0,846861755.0,846861757.0
1629153486090325693,8813,856899000000,,846882605.0,846882625.0,846882650.0,846883392.0
1629153486093584731,8814,856909000000,,846893895.0,846893915.0,846893941.0,846893942.0
